"biosphere","n","ph_mean","ph_sd","do_mean","do_sd","ec_mean","ec_sd","temp_mean","temp_sd"
"Kruger 2 Canyons BR",276,7.87764478764479,0.596821890901431,9.92549180327869,3.09330070640777,177.584727272727,148.811698009372,17.8082181818182,3.1569824285879
"Marico BR",8,8.1775,0.379162611176637,6.1475,2.54561106893526,228.225,131.301036335808,17.1625,3.88253874969164
"Vhembe BR",112,7.85495495495495,0.359893605171594,2.7627,3.50774434845834,137.681981981982,49.9196394184934,19.7875,2.44017149744376
